file,mode,N,species,runs,wall_mean,wall_std,tN2_mean,conv_in_mean,conv_out_mean
benzenes.xyz,numpy_only,24,2,3,8.84303202231725e-05,7.068580859031819e-06,1.535248614985634e-07,0.0,0.0
benzenes.xyz,torch_full,24,2,3,0.0006992916654174,4.5651451799422195e-05,1.214048030238633e-06,0.0,0.0
benzenes.xyz,torch_mixed,24,2,3,0.0007023333649461,3.763616011286327e-05,1.2193287585870604e-06,8.549995254725218e-05,2.542006162305673e-06
ellipsoids.xyz,numpy_only,2,1,3,4.6764034777879715e-05,5.2679875786021784e-06,1.1691008694469929e-05,0.0,0.0
ellipsoids.xyz,torch_full,2,1,3,0.0006610692944377,2.4506794565706262e-05,0.00016526732360936668,0.0,0.0
ellipsoids.xyz,torch_mixed,2,1,3,0.0006687637263287667,6.823936619363463e-05,0.00016719093158213335,8.015299681574106e-05,3.1523328895370164e-06
four_species.xyz,numpy_only,24,4,3,0.0001279300001139,1.7857175732631734e-06,2.2210069464226425e-07,0.0,0.0
four_species.xyz,torch_full,24,4,3,0.0007990549784153001,8.026112718522925e-06,1.3872482264155726e-06,0.0,0.0
four_species.xyz,torch_mixed,24,4,3,0.0007865973360215334,3.0799489130147445e-05,1.3656203750374346e-06,7.772197326024373e-05,2.6246998459100723e-06
one_species.xyz,numpy_only,24,1,3,0.00010255568971236481,3.673365333250905e-05,1.7804807241730116e-07,0.0,0.0
one_species.xyz,torch_full,24,1,3,0.0006540696679924332,4.488825648474917e-05,1.1355376180425217e-06,0.0,0.0
one_species.xyz,torch_mixed,24,1,3,0.0009614027027661001,0.0006084117110829239,1.6691019145245836e-06,0.00011545865951723957,2.7503895883758864e-06
three_species.xyz,numpy_only,24,3,3,0.00015772200034304287,9.071603503096235e-05,2.738229172623337e-07,0.0,0.0
three_species.xyz,torch_full,24,3,3,0.0006975276628508666,1.0761781330540044e-05,1.210985525782841e-06,0.0,0.0
three_species.xyz,torch_mixed,24,3,3,0.0007125693373381667,2.0715912094450166e-05,1.2370995439899464e-06,7.791665848344564e-05,2.444333707292875e-06
